기간	자치구	주택매매가격지수(2017.11=100.0)	주택매매가격지수(2017.11=100.0)
기간	자치구	종합	아파트
2004	서울시	61.86	60.59
2004	종로구	70.74	64.95
2004	중구	70.70	69.26
2004	용산구	52.92	61.99
2004	성동구	72.03	61.47
2004	광진구	62.28	69.13
2004	동대문구	65.87	61.53
2004	중랑구	60.11	63.05
2004	성북구	62.34	65.24
2004	강북구	60.26	56.97
2004	도봉구	62.05	61.40
2004	노원구	51.89	51.28
2004	은평구	62.16	67.54
2004	서대문구	68.50	63.69
2004	마포구	63.47	59.88
2004	양천구	61.22	63.23
2004	강서구	60.47	61.79
2004	구로구	60.02	59.49
2004	금천구	62.45	59.38
2004	영등포구	62.67	59.62
2004	동작구	60.93	60.70
2004	관악구	62.77	61.11
2004	서초구	62.28	57.39
2004	강남구	63.54	61.09
2004	송파구	62.08	66.25
2004	강동구	66.93	63.78
2005	서울시	65.36	65.75
2005	종로구	73.28	68.52
2005	중구	72.76	73.48
2005	용산구	58.43	71.22
2005	성동구	77.53	68.54
2005	광진구	63.61	72.07
2005	동대문구	66.43	63.40
2005	중랑구	59.53	62.46
2005	성북구	63.59	65.60
2005	강북구	61.60	56.91
2005	도봉구	62.91	63.01
2005	노원구	52.70	52.27
2005	은평구	65.49	69.74
2005	서대문구	68.68	63.70
2005	마포구	66.16	63.87
2005	양천구	67.33	70.89
2005	강서구	60.94	63.04
2005	구로구	61.92	62.60
2005	금천구	63.44	60.83
2005	영등포구	68.86	67.30
2005	동작구	64.51	64.91
2005	관악구	63.28	64.52
2005	서초구	74.62	72.69
2005	강남구	72.32	72.79
2005	송파구	70.91	79.57
2005	강동구	73.77	72.94
2006	서울시	77.68	81.18
2006	종로구	79.92	76.37
2006	중구	80.36	86.77
2006	용산구	79.24	91.58
2006	성동구	89.39	84.29
2006	광진구	73.12	91.56
2006	동대문구	71.94	69.69
2006	중랑구	66.69	69.31
2006	성북구	72.89	75.85
2006	강북구	67.67	64.53
2006	도봉구	70.00	71.33
2006	노원구	63.64	63.96
2006	은평구	79.21	81.54
2006	서대문구	75.60	72.02
2006	마포구	78.15	81.75
2006	양천구	89.84	98.30
2006	강서구	74.81	83.33
2006	구로구	72.35	75.35
2006	금천구	69.40	71.11
2006	영등포구	83.55	82.87
2006	동작구	80.64	86.04
2006	관악구	72.19	78.76
2006	서초구	92.17	92.37
2006	강남구	89.37	93.34
2006	송파구	87.86	99.73
2006	강동구	89.98	92.35
2007	서울시	85.30	86.86
2007	종로구	82.45	80.47
2007	중구	87.95	92.50
2007	용산구	95.34	98.94
2007	성동구	93.87	89.66
2007	광진구	77.22	95.59
2007	동대문구	81.28	78.94
2007	중랑구	79.06	79.06
2007	성북구	83.76	85.93
2007	강북구	80.69	83.67
2007	도봉구	83.53	82.63
2007	노원구	74.45	74.36
2007	은평구	86.03	86.27
2007	서대문구	81.65	79.57
2007	마포구	83.28	84.51
2007	양천구	92.45	96.80
2007	강서구	84.60	89.58
2007	구로구	82.38	82.33
2007	금천구	75.51	76.24
2007	영등포구	89.02	87.35
2007	동작구	86.52	90.33
2007	관악구	80.30	85.40
2007	서초구	93.48	92.13
2007	강남구	91.66	93.09
2007	송파구	95.27	99.16
2007	강동구	91.81	92.28
2008	서울시	93.46	93.05
2008	종로구	88.93	88.82
2008	중구	91.97	96.10
2008	용산구	100.15	103.24
2008	성동구	95.83	92.51
2008	광진구	86.17	93.29
2008	동대문구	91.29	89.44
2008	중랑구	94.69	97.88
2008	성북구	96.20	97.60
2008	강북구	95.26	101.17
2008	도봉구	104.28	104.46
2008	노원구	97.22	95.98
2008	은평구	94.15	98.33
2008	서대문구	92.99	91.70
