Date의 연도,원달러환율 (Seoul),코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비서울집값,코스피대비송파구주택매매가격,코스피대비양천구주택매매가격,코스피대비은평구주택매매가격,코스피대비인천집값,코스피대비집값
2016,1199.1,3.118835825,,,,,,,
2016,1236.7,2.998983205,,,,,,,
2016,1191.7,1.67034854,,,,,,,
2016,1143.5,1.47287325,,,,,,,
2016,1151.8,1.462215215,,,,,,,
2016,1169.1,1.367298375,,,,,,,
2016,1139.3,1.077319385,,,,,,,
2016,1120.2,0.950428440,,,,,,,
2016,1207.7,0.564527135,,,,,,,
2016,1144.5,0.275754715,,,,,,,
2016,1114.8,0.26308573,,,,,,,
2016,1101.3,0.144439680,,,,,,,
2015,1185.3,-1.92468401,,,,,,,
2015,1182.5,-2.185504225,,,,,,,
2015,1172.5,-2.567182535,,,,,,,
2015,1158.1,-3.27604241,,,,,,,
2015,1140.1,-3.553352415,,,,,,,
2015,1170,-4.306654285,,,,,,,
2015,1115.5,-4.420474055,,,,,,,
2015,1072.4,-5.296846065,,,,,,,
2015,1108.2,-5.45028155,,,,,,,
2014,1067.5,-8.567481435,,,,,,,
2014,1099.3,-8.651941335,,,,,,,
2014,1068.5,-8.669436600,,,,,,,
2014,1064.7,-8.863091085,,,,,,,
2014,1107.9,-9.008281675,,,,,,,
2014,1033.2,-9.642535305,,,,,,,
2014,1020.1,-9.701657235,,,,,,,
2014,1011.8,-9.720761260,,,,,,,
2014,1027.9,-10.261103525,,,,,,,
2014,1055.2,-10.678576745,,,,,,,
2014,1014,-11.044971835,,,,,,,
2013,1123.5,-9.491058815,,,,,,,
2013,1142,-9.745242895,,,,,,,
2013,1110,-9.997617120,,,,,,,
2013,1101,-10.84060736,,,,,,,
2013,1129.7,-11.555902275,,,,,,,
2013,1083,-11.664493575,,,,,,,
2013,1074.7,-11.755790705,,,,,,,
2013,1089,-11.79017795,,,,,,,
2013,1055.4,-11.835022135,,,,,,,
2013,1111,-11.87343128,,,,,,,
2013,1058.2,-12.26918624,,,,,,,
2013,1060.7,-12.66654996,,,,,,,
2012,1130,-7.785729125,,,,,,,
2012,1145,-8.2251217,,,,,,,
2012,1180,-8.984255325,,,,,,,
2012,1123,-9.077965595,,,,,,,
2012,1082.9,-9.35326465,,,,,,,
2012,1134,-9.639020645,,,,,,,
2012,1090.7,-10.107169805,,,,,,,
2012,1111.4,-10.491261255,,,,,,,
2012,1070.6,-10.74363548,,,,,,,
2012,1130,-11.18765324,,,,,,,
2012,1118,-11.334653685,,,,,,,
2012,1133,-11.740463395,,,,,,,
2011,1178.1,1.814190975,,,,,,,
2011,1110,1.111766140,,,,,,,
2011,1143,0.4497614,,,,,,,
2011,1151,0.360676315,,,,,,,
2011,1066.8,0.236399605,,,,,,,
2011,1096.7,-2.443392365,,,,,,,
2011,1128.7,-2.447414265,,,,,,,
2011,1067.7,-3.89067308,,,,,,,
2011,1079.2,-4.840444765,,,,,,,
2011,1054.5,-5.40733157,,,,,,,
2011,1071.5,-5.469067735,,,,,,,
2010,1160,5.615013880,,,,,,,
2010,1202.5,4.62281115,,,,,,,
2010,1131.3,4.27692775,,,,,,,
2010,1161.8,3.941903480,,,,,,,
2010,1222.2,3.745232570,,,,,,,
2010,1108.4,2.974033245,,,,,,,
2010,1182.7,2.95734236,,,,,,,
2010,1198.1,2.332741290,,,,,,,
2010,1140.2,1.255475375,,,,,,,
2010,1125.3,-0.231622150,,,,,,,
2010,1159.7,-0.935655745,,,,,,,
2010,1134.8,-2.49997375,,,,,,,
2009,1534,15.519497375,,,,,,,
2009,1383.5,15.505420725,,,,,,,
2009,1379.5,15.185277485,,,,,,,
2009,1282,11.85253005,,,,,,,
2009,1273.9,10.38172122,,,,,,,
2009,1255,10.27594525,,,,,,,
2009,1228.5,9.078826715,,,,,,,
2009,1248.9,6.708318855,,,,,,,
2009,1162.8,6.596510035,,,,,,,
2009,1182.5,5.648548205,,,,,,,
2009,1164.5,5.32619292,,,,,,,
2009,1178.1,5.068590225,,,,,,,
2008,1469,12.432702475,,,,,,,
2008,1259.5,11.60921845,,,,,,,
2008,1291,9.86371385,,,,,,,
2008,1207,4.939701680,,,,,,,
2008,1089,3.109938275,,,,,,,
