"1인당 국내총생산(명목, 원화)(만원) (Seoul)","1인당 국내총생산(명목, 원화)(만원)","1인당 국민총소득(명목, 원화)(만원) (Seoul)","1인당 국민총소득(명목, 원화)(만원)",코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비경남집값,코스피대비인천집값,코스피대비집값,서울코스피대비집값,국내총생산대비집값,국민총소득대비집값,소비자물가지수대비 전국부동산가격,한국대출금리대비집값,Date (seoul),Date,F58,레코드 수,Idx (Seoul),Idx,강남구주택매매가격지수,강동구주택매매가격지수,강북구주택매매가격지수,강서구주택매매가격지수,강원도 (Seoul),강원도,건설업 (Seoul),건설업,경기도 (Seoul),경기도,경상남도 (Seoul),경상남도,경상북도 (Seoul),경상북도,관악구주택매매가격지수,광주광역시 (Seoul),광주광역시,광진구주택매매가격지수,구로구주택매매가격지수,금융업 (Seoul),금융업,금천구주택매매가격지수,기계 (Seoul),기계,노원구주택매매가격지수,대구광역시 (Seoul),대구광역시,대전광역시 (Seoul),대전광역시,도봉구주택매매가격지수,동대문구주택매매가격지수,동작구주택매매가격지수,마포구주택매매가격지수,미국대출금리 (Seoul),미국대출금리,보험 (Seoul),보험,부산광역시 (Seoul),부산광역시,비금속광물 (Seoul),비금속광물,서대문구주택매매가격지수,서비스업 (Seoul),서비스업,서울부동산소비심리지수 (Seoul),서울부동산소비심리지수,서울주택매매가격지수,서울특별시 (Seoul),서울특별시,서초구주택매매가격지수,섬유의복 (Seoul),섬유의복,성동구주택매매가격지수,성북구주택매매가격지수,소비자물가지수 (Seoul),소비자물가지수,송파구주택매매가격지수,실업률 (Seoul),실업률,양천구주택매매가격지수,엔원환율 (Seoul),엔원환율,영등포구주택매매가격지수,용산구주택매매가격지수,운수장비 (Seoul),운수장비,운수창고업 (Seoul),운수창고업,울산광역시 (Seoul),울산광역시,원달러환율 (Seoul),원달러환율,유통업 (Seoul),유통업,은평구주택매매가격지수,은행 (Seoul),은행,음식료품 (Seoul),음식료품,의료정밀 (Seoul),의료정밀,의약품 (Seoul),의약품,이혼율(남편) (Seoul),이혼율(남편),이혼율(아내) (Seoul),이혼율(아내),인천광역시 (Seoul),인천광역시,재산세 부과액 (Seoul),재산세 부과액,전국 (Seoul),전국 (그룹),전국,전국부동산소비심리지수 (Seoul),전국부동산소비심리지수,전기가스업 (Seoul),전기가스업,전기전자 (Seoul),전기전자,전년대비 재산세부과액 증가율 (Seoul),전년대비 재산세부과액 증가율,전라남도 (Seoul),전라남도,전라북도 (Seoul),전라북도,제조업 (Seoul),제조업,제주특별자치도 (Seoul),제주특별자치도,종로구주택매매가격지수,종이목재 (Seoul),종이목재,중구주택매매가격지수,중랑구주택매매가격지수,증권 (Seoul),증권,철강금속 (Seoul),철강금속,출산율 (Seoul),출산율,충청남도 (Seoul),충청남도,충청북도 (Seoul),충청북도,코스피지수평균 (Seoul),코스피지수평균,통신업 (Seoul),통신업,한국대출금리 (Seoul),한국대출금리,화학 (Seoul),화학
1889.3,1889.3,1886.1,1886.1,-8.293885535,1.254069648,-2.60635698,-3.200163181,-0.343110622,-5.155343259,-5.921514170,-6.003075240,-1.62888653,-890.408204,2004-01-01,2004-01-01,,1,1,1,63.54,66.93,60.26,60.47,64.2,64.2,63.13,63.13,66.2,66.2,60.2,60.2,63.5,63.5,62.77,57.9,57.9,62.28,60.02,263.87,263.87,62.45,404.42,404.42,51.89,60.9,60.9,74.9,74.9,62.05,65.87,60.93,63.47,4,4,5300.97,5300.97,59.2,59.2,850.49,850.49,68.5,355.96,355.96,,,61.86,61,61,62.28,87.67,87.67,72.03,62.34,75.027,75.027,62.08,4,4,61.22,1107.9,1107.9,62.67,52.92,564.59,564.59,972.18,972.18,51.1,51.1,1173.7,1173.7,224.08,224.08,62.16,191.01,191.01,1301.41,1301.41,393.51,393.51,1181.26,1181.26,7.2,7.2,7.1,7.1,66.4,66.4,1068269521,1068269521,62.7,"62.3, 62.5, 62.7 및 23 이상",62.7,,,604.6,604.6,5205.42,5205.42,,,61.9,61.9,56.3,56.3,1481.36,1481.36,53.4,53.4,70.74,181.95,181.95,70.7,60.11,1069.3,1069.3,1788.47,1788.47,1.164,1.164,73.3,73.3,59.2,59.2,845.53,845.53,335,335,6.25,6.25,1030.53,1030.53
1889.3,1889.3,1886.1,1886.1,-8.734685775,0.796459920,-3.1495317,-3.469858365,-0.697629630,-5.288444235,-5.72151417,-5.80307524,-1.840032010,-890.568204,2004-02-01,2004-02-01,,1,2,2,63.54,66.93,60.26,60.47,64.9,64.9,65.84,65.84,66.3,66.3,60.5,60.5,63.6,63.6,62.77,58.1,58.1,62.28,60.02,284.4,284.4,62.45,439.56,439.56,51.89,61,61,75.6,75.6,62.05,65.87,60.93,63.47,4,4,5538.77,5538.77,59.2,59.2,832.06,832.06,68.5,368.91,368.91,,,61.86,61.4,61.4,62.28,87.14,87.14,72.03,62.34,75.359,75.359,62.08,4.1,4.1,61.22,1076.3,1076.3,62.67,52.92,548.98,548.98,944.13,944.13,51.2,51.2,1176.2,1176.2,223.29,223.29,62.16,203.09,203.09,1273.45,1273.45,350.31,350.31,1269.49,1269.49,7.2,7.2,7.1,7.1,66.6,66.6,1068269521,1068269521,62.9,"62.3, 62.5, 62.7 및 23 이상",62.9,,,621.45,621.45,5379.51,5379.51,,,61.8,61.8,56.6,56.6,1534.92,1534.92,53.4,53.4,70.74,204.97,204.97,70.7,60.11,1121.27,1121.27,1963.28,1963.28,1.164,1.164,74.4,74.4,59.5,59.5,867.45,867.45,349.87,349.87,6.09,6.09,1116.18,1116.18
1889.3,1889.3,1886.1,1886.1,-8.89817601,0.789645728,-3.16226028,-3.644065566,-0.603297492,-5.186168274,-5.421514170,-5.503075240,-2.44653349,-890.538204,2004-03-01,2004-03-01,,1,3,3,63.54,66.93,60.26,60.47,65.5,65.5,65.94,65.94,66.5,66.5,60.8,60.8,63.8,63.8,62.77,58.2,58.2,62.28,60.02,270.62,270.62,62.45,444.92,444.92,51.89,61.3,61.3,76,76,62.05,65.87,60.93,63.47,4,4,5818.82,5818.82,59.3,59.3,807.16,807.16,68.5,389.92,389.92,,,61.86,61.7,61.7,62.28,82.87,82.87,72.03,62.34,76.091,76.091,62.08,4,4,61.22,1101.3,1101.3,62.67,52.92,548.83,548.83,888.41,888.41,51.6,51.6,1146.6,1146.6,216.23,216.23,62.16,187.51,187.51,1258.5,1258.5,350.07,350.07,1241.57,1241.57,7.2,7.2,7.1,7.1,66.6,66.6,1068269521,1068269521,63.2,"62.3, 62.5, 62.7 및 23 이상",63.2,,,611.06,611.06,5685,5685,,,61.6,61.6,57.1,57.1,1566.62,1566.62,53.3,53.3,70.74,206.01,206.01,70.7,60.11,1064.5,1064.5,1851.05,1851.05,1.164,1.164,75.2,75.2,59.8,59.8,875.58,875.58,325.26,325.26,6.12,6.12,1110.9,1110.9
1889.3,1889.3,1886.1,1886.1,-9.53283183,0.186809824,-4.07624724,-4.120323778,-1.201683436,-5.553716942,-5.22151417,-5.30307524,-2.246533490,-890.638204,2004-04-01,2004-04-01,,1,4,4,63.54,66.93,60.26,60.47,65.6,65.6,66.44,66.44,66.7,66.7,61.1,61.1,64,64,62.77,58.3,58.3,62.28,60.02,260.67,260.67,62.45,400.92,400.92,51.89,61.4,61.4,76.6,76.6,62.05,65.87,60.93,63.47,4,4,5895.44,5895.44,59.4,59.4,835.93,835.93,68.5,417.7,417.7,,,61.86,62.1,62.1,62.28,83.46,83.46,72.03,62.34,76.091,76.091,62.08,3.7,3.7,61.22,1063.9,1063.9,62.67,52.92,499.54,499.54,802.05,802.05,52.1,52.1,1173.3,1173.3,253.01,253.01,62.16,182.69,182.69,1334.9,1334.9,329.7,329.7,1277.78,1277.78,7.2,7.2,7.1,7.1,66.8,66.8,1068269521,1068269521,63.4,"62.3, 62.5, 62.7 및 23 이상",63.4,,,603.3,603.3,5533.12,5533.12,,,61.6,61.6,57.4,57.4,1523.14,1523.14,53.5,53.5,70.74,189.07,189.07,70.7,60.11,996.81,996.81,1674.74,1674.74,1.164,1.164,76,76,60.2,60.2,907.14,907.14,307.35,307.35,6.02,6.02,1139.42,1139.42
1889.3,1889.3,1886.1,1886.1,-7.353967505,2.943060464,0.291543860,-1.798632483,1.639289854,-2.818612437,-5.12151417,-5.20307524,-2.064799750,-890.688204,2004-05-01,2004-05-01,,1,5,5,63.54,66.93,60.26,60.47,66,66,59.31,59.31,66.6,66.6,61.3,61.3,64,64,62.77,58.3,58.3,62.28,60.02,237.73,237.73,62.45,359.56,359.56,51.89,61.4,61.4,77.5,77.5,62.05,65.87,60.93,63.47,4,4,5455.42,5455.42,59.5,59.5,736.18,736.18,68.5,400.59,400.59,,,61.86,62.2,62.2,62.28,75.89,75.89,72.03,62.34,76.025,76.025,62.08,3.5,3.5,61.22,1059.5,1059.5,62.67,52.92,472.46,472.46,774.69,774.69,52.7,52.7,1160.1,1160.1,265.51,265.51,62.16,171.75,171.75,1218.45,1218.45,299.32,299.32,1146.92,1146.92,7.2,7.2,7.1,7.1,66.8,66.8,1068269521,1068269521,63.5,"62.3, 62.5, 62.7 및 23 이상",63.5,,,585.04,585.04,5006.79,5006.79,,,61.6,61.6,57.5,57.5,1400.71,1400.71,53.5,53.5,70.74,169.21,169.21,70.7,60.11,844.79,844.79,1586.8,1586.8,1.164,1.164,75.9,75.9,60.4,60.4,798.79,798.79,298.39,298.39,5.97,5.97,1091.5,1091.5
1889.3,1889.3,1886.1,1886.1,-6.807391295,3.534476176,1.43704974,-1.316227597,2.326873186,-2.257586683,-5.12151417,-5.20307524,-2.064799750,-890.598204,2004-06-01,2004-06-01,,1,6,6,63.54,66.93,60.26,60.47,66.3,66.3,57.94,57.94,66.3,66.3,61.4,61.4,63.9,63.9,62.77,58.5,58.5,62.28,60.02,226.36,226.36,62.45,362.69,362.69,51.89,61.4,61.4,77.9,77.9,62.05,65.87,60.93,63.47,4,4,5339.12,5339.12,59.4,59.4,726.2,726.2,68.5,411.85,411.85,,,61.86,62.1,62.1,62.28,74.56,74.56,72.03,62.34,76.025,76.025,62.08,3.4,3.4,61.22,1062.2,1062.2,62.67,52.92,495.24,495.24,841.49,841.49,52.8,52.8,1155.5,1155.5,240.02,240.02,62.16,160.42,160.42,1275.49,1275.49,274.08,274.08,1205.01,1205.01,7.2,7.2,7.1,7.1,66.7,66.7,1068269521,1068269521,63.5,"62.3, 62.5, 62.7 및 23 이상",63.5,,,593.78,593.78,4720.33,4720.33,,,61.5,61.5,57.6,57.6,1374.85,1374.85,53.4,53.4,70.74,156.53,156.53,70.7,60.11,810.42,810.42,1673,1673,1.164,1.164,75.6,75.6,60.9,60.9,771.61,771.61,294.03,294.03,6.06,6.06,1078.78,1078.78
1889.3,1889.3,1886.1,1886.1,-6.293794665,4.084172912,2.61947138,-0.668964139,2.872968782,-1.836446221,-5.22151417,-5.30307524,-2.741889490,-890.698204,2004-07-01,2004-07-01,,1,7,7,63.54,66.93,60.26,60.47,66.6,66.6,55.09,55.09,66,66,61.6,61.6,63.8,63.8,62.77,58.7,58.7,62.28,60.02,211.74,211.74,62.45,356.03,356.03,51.89,61.5,61.5,78.1,78.1,62.05,65.87,60.93,63.47,4.25,4.25,4787.14,4787.14,59.1,59.1,730.8,730.8,68.5,397.9,397.9,,,61.86,61.9,61.9,62.28,70.23,70.23,72.03,62.34,76.491,76.491,62.08,3.6,3.6,61.22,1046.8,1046.8,62.67,52.92,474.2,474.2,810.56,810.56,52.9,52.9,1170,1170,221.31,221.31,62.16,151.11,151.11,1191.67,1191.67,254.6,254.6,1207.94,1207.94,7.2,7.2,7.1,7.1,66.8,66.8,1068269521,1068269521,63.4,"62.3, 62.5, 62.7 및 23 이상",63.4,,,612.71,612.71,4111.47,4111.47,,,61.5,61.5,57.8,57.8,1283.64,1283.64,53.1,53.1,70.74,160.66,160.66,70.7,60.11,751.07,751.07,1772.24,1772.24,1.164,1.164,75.5,75.5,61.3,61.3,746.07,746.07,261.03,261.03,5.96,5.96,1087.66,1087.66
1889.3,1889.3,1886.1,1886.1,-6.781248945,3.567546096,1.68705554,-1.488371587,2.059759806,-2.825970293,-5.421514170,-5.503075240,-3.765418840,-890.848204,2004-08-01,2004-08-01,,1,8,8,63.54,66.93,60.26,60.47,67.1,67.1,68.51,68.51,65.6,65.6,61.6,61.6,63.9,63.9,62.77,58.7,58.7,62.28,60.02,259.15,259.15,62.45,402.21,402.21,51.89,61.4,61.4,78.2,78.2,62.05,65.87,60.93,63.47,4.42,4.42,5039.28,5039.28,58.9,58.9,783.18,783.18,68.5,383.38,383.38,,,61.86,61.5,61.5,62.28,72.56,72.56,72.03,62.34,77.156,77.156,62.08,3.6,3.6,61.22,1050.2,1050.2,62.67,52.92,522.77,522.77,967.92,967.92,52.9,52.9,1153,1153,244.77,244.77,62.16,171.6,171.6,1230.37,1230.37,292.63,292.63,1273.61,1273.61,7.2,7.2,7.1,7.1,66.5,66.5,1068269521,1068269521,63.2,"62.3, 62.5, 62.7 및 23 이상",63.2,,,633.54,633.54,4448.08,4448.08,,,61.7,61.7,58.1,58.1,1376.19,1376.19,53.1,53.1,70.74,175.77,175.77,70.7,60.11,830.98,830.98,1883.39,1883.39,1.164,1.164,74.7,74.7,61.7,61.7,770.31,770.31,271.87,271.87,5.81,5.81,1116.07,1116.07
1889.3,1889.3,1886.1,1886.1,-8.10063324,2.198532672,-0.636698720,-3.194242984,0.299997392,-4.621625176,-5.52151417,-5.60307524,-3.865418840,-890.918204,2004-09-01,2004-09-01,,1,9,9,63.54,66.93,60.26,60.47,67.6,67.6,73.9,73.9,65.3,65.3,61.8,61.8,64.2,64.2,62.77,59,59,62.28,60.02,257.38,257.38,62.45,435.84,435.84,51.89,61.5,61.5,78.1,78.1,62.05,65.87,60.93,63.47,4.59,4.59,4944.74,4944.74,58.8,58.8,877.26,877.26,68.5,406.42,406.42,,,61.86,61.3,61.3,62.28,76.68,76.68,72.03,62.34,77.156,77.156,62.08,3.3,3.3,61.22,1039.5,1039.5,62.67,52.92,570.19,570.19,922.12,922.12,53,53,1151.8,1151.8,244.27,244.27,62.16,171.29,171.29,1360.78,1360.78,267.73,267.73,1380.19,1380.19,7.2,7.2,7.1,7.1,66.2,66.2,1068269521,1068269521,63.1,"62.3, 62.5, 62.7 및 23 이상",63.1,,,676.32,676.32,4559.69,4559.69,,,61.5,61.5,58.2,58.2,1452.16,1452.16,53.2,53.2,70.74,186.46,186.46,70.7,60.11,844.21,844.21,1988.77,1988.77,1.164,1.164,74.8,74.8,61.7,61.7,835.92,835.92,276.78,276.78,5.74,5.74,1236.47,1236.47
1889.3,1889.3,1886.1,1886.1,-8.365877545,1.963000176,-1.24406526,-3.776874347,-0.133675314,-5.142409933,-5.62151417,-5.70307524,-3.965418840,-890.948204,2004-10-01,2004-10-01,,1,10,10,63.54,66.93,60.26,60.47,68.1,68.1,85.53,85.53,65,65,61.7,61.7,64.3,64.3,62.77,59.9,59.9,62.28,60.02,263.57,263.57,62.45,422.73,422.73,51.89,61.6,61.6,78,78,62.05,65.87,60.93,63.47,4.75,4.75,5044.05,5044.05,58.7,58.7,835.56,835.56,68.5,406.32,406.32,,,61.86,61.1,61.1,62.28,72.23,72.23,72.03,62.34,77.156,77.156,62.08,3.4,3.4,61.22,1055.7,1055.7,62.67,52.92,581.86,581.86,1066.4,1066.4,53.3,53.3,1119.6,1119.6,239.45,239.45,62.16,177.25,177.25,1308.89,1308.89,227.31,227.31,1394.27,1394.27,7.2,7.2,7.1,7.1,65.9,65.9,1068269521,1068269521,63,"62.3, 62.5, 62.7 및 23 이상",63,,,714.66,714.66,4368.63,4368.63,,,61.5,61.5,58.5,58.5,1423.38,1423.38,53.1,53.1,70.74,195.09,195.09,70.7,60.11,819.08,819.08,1953.21,1953.21,1.164,1.164,74.6,74.6,62.2,62.2,849.11,849.11,277.16,277.16,5.71,5.71,1257.94,1257.94
