idx,Date,원달러환율,엔원환율,미국대출금리,한국대출금리,lag12한국대출금리,소비자물가지수,제조업,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업,은행,증권,보험,서비스업,1인당.국내총생산.명목..원화..만원.,1인당.국민총소득.명목..원화..만원.,코스피지수평균,lag6코스피지수평균,코스닥지수평균,재산세.부과액,전년대비.재산세부과액.증가율,코스피대비집값,서울코스피대비집값,국내총생산대비집값,국민총소득대비집값,한국대출금리대비집값,diff국민총소득,diff소비자물가지수,diff코스피지수평균,diff원달러환율,diff한국대출금리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,diff전국,diff코스피대비집값,diff국민총소득대비집값
1,2004-01-01,1173.7,1107.9,4,6.25,NA,75.027,1481.36,1301.41,87.67,181.95,1030.53,1181.26,850.49,1788.47,404.42,5205.42,393.51,564.59,224.08,604.6,63.13,972.18,335,263.87,191.01,1069.3,5300.97,355.96,1889.3,1886.1,845.53,NA,448.28,1068269521,NA,-0.343110622,-5.155343259,-5.92151417,-6.00307524,-890.408204,0,0.332,21.92,2.5,-0.16,62.7,61,59.2,60.9,66.4,57.9,74.9,51.1,66.2,64.2,59.2,73.3,56.3,61.9,63.5,60.2,53.4,0.2,-0.354519008,0.2
2,2004-02-01,1176.2,1076.3,4,6.09,NA,75.359,1534.92,1273.45,87.14,204.97,1116.18,1269.49,832.06,1963.28,439.56,5379.51,350.31,548.98,223.29,621.45,65.84,944.13,349.87,284.4,203.09,1121.27,5538.77,368.91,1889.3,1886.1,867.45,NA,439.05,1068269521,NA,-0.69762963,-5.288444235,-5.72151417,-5.80307524,-890.568204,0,0.732,8.13,-29.6,0.03,62.9,61.4,59.2,61,66.6,58.1,75.6,51.2,66.3,64.9,59.5,74.4,56.6,61.8,63.6,60.5,53.4,0.3,0.094332138,0.3
3,2004-03-01,1146.6,1101.3,4,6.12,NA,76.091,1566.62,1258.5,82.87,206.01,1110.9,1241.57,807.16,1851.05,444.92,5685,350.07,548.83,216.23,611.06,65.94,888.41,325.26,270.62,187.51,1064.5,5818.82,389.92,1889.3,1886.1,875.58,NA,431.49,1068269521,NA,-0.603297492,-5.186168274,-5.42151417,-5.50307524,-890.538204,0,0,31.56,26.7,-0.1,63.2,61.7,59.3,61.3,66.6,58.2,76,51.6,66.5,65.5,59.8,75.2,57.1,61.6,63.8,60.8,53.3,0.2,-0.598385944,0.2
4,2004-04-01,1173.3,1063.9,4,6.02,NA,76.091,1523.14,1334.9,83.46,189.07,1139.42,1277.78,835.93,1674.74,400.92,5533.12,329.7,499.54,253.01,603.3,66.44,802.05,307.35,260.67,182.69,996.81,5895.44,417.7,1889.3,1886.1,907.14,NA,463.2,1068269521,NA,-1.201683436,-5.553716942,-5.22151417,-5.30307524,-890.638204,0,-0.066,-108.35,-13.2,-0.05,63.4,62.1,59.4,61.4,66.8,58.3,76.6,52.1,66.7,65.6,60.2,76,57.4,61.6,64,61.1,53.5,0.1,2.84097329,0.1
5,2004-05-01,1160.1,1059.5,4,5.97,NA,76.025,1400.71,1218.45,75.89,169.21,1091.5,1146.92,736.18,1586.8,359.56,5006.79,299.32,472.46,265.51,585.04,59.31,774.69,298.39,237.73,171.75,844.79,5455.42,400.59,1889.3,1886.1,798.79,NA,408.41,1068269521,NA,1.639289854,-2.818612437,-5.12151417,-5.20307524,-890.688204,0,0,-27.18,-4.6,0.09,63.5,62.2,59.5,61.4,66.8,58.3,77.5,52.7,66.6,66,60.4,75.9,57.5,61.6,64,61.3,53.5,0,0.687583332,0
6,2004-06-01,1155.5,1062.2,4,6.06,NA,76.025,1374.85,1275.49,74.56,156.53,1078.78,1205.01,726.2,1673,362.69,4720.33,274.08,495.24,240.02,593.78,57.94,841.49,294.03,226.36,160.42,810.42,5339.12,411.85,1889.3,1886.1,771.61,NA,383.97,1068269521,NA,2.326873186,-2.257586683,-5.12151417,-5.20307524,-890.598204,0,0.466,-25.54,14.5,-0.1,63.5,62.1,59.4,61.4,66.7,58.5,77.9,52.8,66.3,66.3,60.9,75.6,57.6,61.5,63.9,61.4,53.4,-0.1,0.546095596,-0.1
7,2004-07-01,1170,1046.8,4.25,5.96,NA,76.491,1283.64,1191.67,70.23,160.66,1087.66,1207.94,730.8,1772.24,356.03,4111.47,254.6,474.2,221.31,612.71,55.09,810.56,261.03,211.74,151.11,751.07,4787.14,397.9,1889.3,1886.1,746.07,845.53,358.98,1068269521,NA,2.872968782,-1.836446221,-5.22151417,-5.30307524,-890.698204,0,0.665,24.24,-17,-0.15,63.4,61.9,59.1,61.5,66.8,58.7,78.1,52.9,66,66.6,61.3,75.5,57.8,61.5,63.8,61.6,53.1,-0.2,-0.813208976,-0.2
8,2004-08-01,1153,1050.2,4.42,5.81,NA,77.156,1376.19,1230.37,72.56,175.77,1116.07,1273.61,783.18,1883.39,402.21,4448.08,292.63,522.77,244.77,633.54,68.51,967.92,271.87,259.15,171.6,830.98,5039.28,383.38,1889.3,1886.1,770.31,867.45,344.08,1068269521,NA,2.059759806,-2.825970293,-5.42151417,-5.50307524,-890.848204,0,0,65.61,-1.2,-0.07,63.2,61.5,58.9,61.4,66.5,58.7,78.2,52.9,65.6,67.1,61.7,74.7,58.1,61.7,63.9,61.6,53.1,-0.1,-1.759762414,-0.1
9,2004-09-01,1151.8,1039.5,4.59,5.74,NA,77.156,1452.16,1360.78,76.68,186.46,1236.47,1380.19,877.26,1988.77,435.84,4559.69,267.73,570.19,244.27,676.32,73.9,922.12,276.78,257.38,171.29,844.21,4944.74,406.42,1889.3,1886.1,835.92,875.58,368.12,1068269521,NA,0.299997392,-4.621625176,-5.52151417,-5.60307524,-890.918204,0,0,13.19,-32.2,-0.03,63.1,61.3,58.8,61.5,66.2,59,78.1,53,65.3,67.6,61.7,74.8,58.2,61.5,64.2,61.8,53.2,-0.1,-0.433672706,-0.1
10,2004-10-01,1119.6,1055.7,4.75,5.71,NA,77.156,1423.38,1308.89,72.23,195.09,1257.94,1394.27,835.56,1953.21,422.73,4368.63,227.31,581.86,239.45,714.66,85.53,1066.4,277.16,263.57,177.25,819.08,5044.05,406.32,1889.3,1886.1,849.11,907.14,365.1,1068269521,NA,-0.133675314,-5.142409933,-5.62151417,-5.70307524,-890.948204,0,-0.465,13.99,-71.4,-0.11,63,61.1,58.7,61.6,65.9,59.9,78,53.3,65,68.1,62.2,74.6,58.5,61.5,64.3,61.7,53.1,-0.3,-0.653910626,-0.3
